"device_id","payment_id","user_id","site_id","relation_status","physical_id","serial"
41230194,69810794792,75554443,MLB,2,MP300-23021062023101725313,"23021062023101725313"
41230195,69810794792,75554443,MLB,2,MP300-23021062023101726791,"23021062023101726791"
41230196,69810794792,75554443,MLB,2,MP300-23021062023101725747,"23021062023101725747"
41230197,69810794792,75554443,MLB,2,MP300-23021062023101725235,"23021062023101725235"
41230198,69810794792,75554443,MLB,2,MP300-23021062023101726458,"23021062023101726458"
41230199,69810794792,75554443,MLB,2,MP300-23021062023101725748,"23021062023101725748"
41230200,69810794792,75554443,MLB,2,MP300-23021062023101725256,"23021062023101725256"
41230201,69810794792,75554443,MLB,2,MP300-23021062023101725271,"23021062023101725271"
41230202,69810794792,75554443,MLB,2,MP300-23021062023101726788,"23021062023101726788"
41230203,69810794792,75554443,MLB,2,MP300-23021062023101725033,"23021062023101725033"
41230204,69810794792,75554443,MLB,2,MP300-23021062023101726706,"23021062023101726706"
41230205,69810794792,75554443,MLB,2,MP300-23021062023101726478,"23021062023101726478"
41230206,69810794792,75554443,MLB,2,MP300-23021062023101726593,"23021062023101726593"
41230207,69810794792,75554443,MLB,2,MP300-23021062023101726742,"23021062023101726742"
41230208,69810794792,75554443,MLB,2,MP300-23021062023101726472,"23021062023101726472"
41230209,69810794792,75554443,MLB,2,MP300-23021062023101726597,"23021062023101726597"
41230210,69810794792,75554443,MLB,2,MP300-23021062023101726660,"23021062023101726660"
41230211,69810794792,75554443,MLB,2,MP300-23021062023101721035,"23021062023101721035"
41230212,69810794792,75554443,MLB,2,MP300-23021062023101727422,"23021062023101727422"
41230213,69810794792,75554443,MLB,2,MP300-23021062023101726464,"23021062023101726464"
41230214,69810794792,75554443,MLB,2,MP300-23021062023101725259,"23021062023101725259"
41230215,69810794792,75554443,MLB,2,MP300-23021062023101726729,"23021062023101726729"
41230216,69810794792,75554443,MLB,2,MP300-23021062023101725960,"23021062023101725960"
41230217,69810794792,75554443,MLB,2,MP300-23021062023101725254,"23021062023101725254"
41230218,69810794792,75554443,MLB,2,MP300-23021062023101725251,"23021062023101725251"
41230219,69810794792,75554443,MLB,2,MP300-23021062023101725316,"23021062023101725316"
41230220,69810794792,75554443,MLB,2,MP300-23021062023101725310,"23021062023101725310"
41230221,69810794792,75554443,MLB,2,MP300-23021062023101725283,"23021062023101725283"
41230222,69810794792,75554443,MLB,2,MP300-23021062023101726493,"23021062023101726493"
41230223,69810794792,75554443,MLB,2,MP300-23021062023101726787,"23021062023101726787"
41230224,69810794792,75554443,MLB,2,MP300-23021062023101726480,"23021062023101726480"
41230225,69810794792,75554443,MLB,2,MP300-23021062023101725314,"23021062023101725314"
41230226,69810794792,75554443,MLB,2,MP300-23021062023101726790,"23021062023101726790"
41230227,69810794792,75554443,MLB,2,MP300-23021062023101725745,"23021062023101725745"
41230228,69810794792,75554443,MLB,2,MP300-23021062023101725764,"23021062023101725764"
41230229,69810794792,75554443,MLB,2,MP300-23021062023101726474,"23021062023101726474"
41230230,69810794792,75554443,MLB,2,MP300-23021062023101725311,"23021062023101725311"
41230231,69810794792,75554443,MLB,2,MP300-23021062023101726775,"23021062023101726775"
41230232,69810794792,75554443,MLB,2,MP300-23021062023101725966,"23021062023101725966"
41230233,69810794792,75554443,MLB,2,MP300-23021062023101725245,"23021062023101725245"
41230234,69810794792,75554443,MLB,2,MP300-23021062023101726763,"23021062023101726763"
41230235,69810794792,75554443,MLB,2,MP300-23021062023101725182,"23021062023101725182"
41230236,69810794792,75554443,MLB,2,MP300-23021062023101726731,"23021062023101726731"
41230237,69810794792,75554443,MLB,2,MP300-23021062023101726483,"23021062023101726483"
41230238,69810794792,75554443,MLB,2,MP300-23021062023101726470,"23021062023101726470"
41230239,69614132177,75554443,MLB,2,MP300-23021062023101725853,"23021062023101725853"
41230240,69614132177,75554443,MLB,2,MP300-23021062023101725410,"23021062023101725410"
41230241,69614132177,75554443,MLB,2,MP300-23021062023101725427,"23021062023101725427"
41230242,69614132177,75554443,MLB,2,MP300-23021062023101725026,"23021062023101725026"
41230243,69614132177,75554443,MLB,2,MP300-23021062023101725808,"23021062023101725808"
41230244,69614132177,75554443,MLB,2,MP300-23021062023101725400,"23021062023101725400"
41230245,69614132177,75554443,MLB,2,MP300-23021062023101725425,"23021062023101725425"
41230246,69614132177,75554443,MLB,2,MP300-23021062023101725908,"23021062023101725908"
41230247,69614132177,75554443,MLB,2,MP300-23021062023101725266,"23021062023101725266"
41230248,69614132177,75554443,MLB,2,MP300-23021062023101725905,"23021062023101725905"
41230249,69614132177,75554443,MLB,2,MP300-23021062023101725901,"23021062023101725901"
41230250,69614132177,75554443,MLB,2,MP300-23021062023101725174,"23021062023101725174"
41230251,69614132177,75554443,MLB,2,MP300-23021062023101725907,"23021062023101725907"
41230252,69614132177,75554443,MLB,2,MP300-23021062023101725512,"23021062023101725512"
41230253,69614132177,75554443,MLB,2,MP300-23021062023101725012,"23021062023101725012"
41230254,69614132177,75554443,MLB,2,MP300-23021062023101725011,"23021062023101725011"
41230255,69614132177,75554443,MLB,2,MP300-23021062023101725123,"23021062023101725123"
41230256,69614132177,75554443,MLB,2,MP300-23021062023101725128,"23021062023101725128"
41230257,69614132177,75554443,MLB,2,MP300-23021062023101725176,"23021062023101725176"
41230258,69614132177,75554443,MLB,2,MP300-23021062023101725903,"23021062023101725903"
41230259,69614132177,75554443,MLB,2,MP300-23021062023101725009,"23021062023101725009"
41230260,69614132177,75554443,MLB,2,MP300-23021062023101725395,"23021062023101725395"
41230261,69614132177,75554443,MLB,2,MP300-23021062023101725411,"23021062023101725411"
41230262,69614132177,75554443,MLB,2,MP300-23021062023101725904,"23021062023101725904"
41230263,69614132177,75554443,MLB,2,MP300-23021062023101726903,"23021062023101726903"
41230264,69614132177,75554443,MLB,2,MP300-23021062023101725909,"23021062023101725909"
41230265,69614132177,75554443,MLB,2,MP300-23021062023101725899,"23021062023101725899"
41230266,69614132177,75554443,MLB,2,MP300-23021062023101726752,"23021062023101726752"
41230267,69614132177,75554443,MLB,2,MP300-23021062023101725005,"23021062023101725005"
41230268,69614132177,75554443,MLB,2,MP300-23021062023101725428,"23021062023101725428"
41230269,69614132177,75554443,MLB,2,MP300-23021062023101725406,"23021062023101725406"
41230270,69614132177,75554443,MLB,2,MP300-23021062023101726687,"23021062023101726687"
41230271,69614132177,75554443,MLB,2,MP300-23021062023101725178,"23021062023101725178"
41230272,69614132177,75554443,MLB,2,MP300-23021062023101725017,"23021062023101725017"
41230273,69614132177,75554443,MLB,2,MP300-23021062023101725139,"23021062023101725139"
41230274,69614132177,75554443,MLB,2,MP300-23021062023101725409,"23021062023101725409"
41230275,69614132177,75554443,MLB,2,MP300-23021062023101725429,"23021062023101725429"
41230276,69614132177,75554443,MLB,2,MP300-23021062023101725015,"23021062023101725015"
41230277,69614132177,75554443,MLB,2,MP300-23021062023101726874,"23021062023101726874"
41230278,69614132177,75554443,MLB,2,MP300-23021062023101725003,"23021062023101725003"
41230279,69614132177,75554443,MLB,2,MP300-23021062023101726608,"23021062023101726608"
41230280,69614132177,75554443,MLB,2,MP300-23021062023101725431,"23021062023101725431"
41230281,69614132177,75554443,MLB,2,MP300-23021062023101726592,"23021062023101726592"
41230282,69614132177,75554443,MLB,2,MP300-23021062023101725434,"23021062023101725434"
41230283,69614132177,75554443,MLB,2,MP300-23021062023101725906,"23021062023101725906"
41230284,69810860136,75554443,MLB,2,MP300-23021062023101725780,"23021062023101725780"
41230285,69810860136,75554443,MLB,2,MP300-23021062023101725163,"23021062023101725163"
41230286,69810860136,75554443,MLB,2,MP300-23021062023101726657,"23021062023101726657"
41230287,69810860136,75554443,MLB,2,MP300-23021062023101725369,"23021062023101725369"
41230288,69810860136,75554443,MLB,2,MP300-23021062023101725377,"23021062023101725377"
41230289,69810860136,75554443,MLB,2,MP300-23021062023101725391,"23021062023101725391"
41230290,69810860136,75554443,MLB,2,MP300-23021062023101725958,"23021062023101725958"
41230291,69810860136,75554443,MLB,2,MP300-23021062023101726601,"23021062023101726601"
41230292,69810860136,75554443,MLB,2,MP300-23021062023101726559,"23021062023101726559"
41230293,69810860136,75554443,MLB,2,MP300-23021062023101725900,"23021062023101725900"
41230294,69810860136,75554443,MLB,2,MP300-23021062023101726497,"23021062023101726497"
41230295,69810860136,75554443,MLB,2,MP300-23021062023101726556,"23021062023101726556"
41230296,69810860136,75554443,MLB,2,MP300-23021062023101726603,"23021062023101726603"
41230297,69810860136,75554443,MLB,2,MP300-23021062023101726609,"23021062023101726609"
41230298,69810860136,75554443,MLB,2,MP300-23021062023101725031,"23021062023101725031"
41230299,69810860136,75554443,MLB,2,MP300-23021062023101725896,"23021062023101725896"
41230300,69810860136,75554443,MLB,2,MP300-23021062023101725874,"23021062023101725874"
41230301,69810860136,75554443,MLB,2,MP300-23021062023101725893,"23021062023101725893"
41230302,69810860136,75554443,MLB,2,MP300-23021062023101725802,"23021062023101725802"
41230303,69810860136,75554443,MLB,2,MP300-23021062023101726551,"23021062023101726551"
